Label,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
0,6.707218388601695,8.964911489609301,3.3524031477868785,4.6621041572733075,32.26000000000002,21.66000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,13.06326807653836,18.525270728266175,12.695448468416279,15.547849118696263,43.32000000000002,-55.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,11.975993528722368,9.514171745349147,6.1896253693672465,6.06846607968616,26.730000000000018,71.43,27.024054,74.96966,1896.8461,0.58871275,0.5165759,9.014381,-9999,-9999,-9999,-9999,-9999,-9999
0,2.7091356555181956,4.13827306977198,1.3748676298474667,2.9309814305313098,-50.69,-0.45999999999999375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,2.3945602414639735,3.9103004999616036,0.6002289989561034,1.4374283382757334,-94.92999999999999,27.190000000000012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,2.7650000000000006,0.0,0.9113292474335308,6.036298836841064e-07,-117.05,93.55000000000001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,13.363848846795594,9.399192636722702,12.16511116058906,9.498922650422903,-144.7,-94.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,-0.9199999999999875,-17.049999999999997,2.5769658,-11.353197,1859.8798,-0.89442444,-0.45476556,47.365665,-9999,-9999,-9999,-9999,-9999,-9999
0,2.7091356555181956,4.13827306977198,0.9765003879167174,2.5900744984256066,-6.449999999999989,-5.989999999999995,-0.7045098,-0.13710682,1859.8795,-0.32336617,-0.0660301,50.179077,-9999,-9999,-9999,-9999,-9999,-9999
0,13.968234339462173,8.478396676677768,4.246464260856391,3.051219042414363,-17.50999999999999,5.070000000000007,-15.461812,9.978908,1896.7761,-0.8535987,0.22487043,49.824398,-9999,-9999,-9999,-9999,-9999,-9999
0,10.161036760731164,7.967066925005944,2.4860668997188937,2.7068061670029993,-11.97999999999999,16.13000000000001,-7.1336107,18.624586,1896.7866,-0.45419288,-0.039377052,50.356655,-9999,-9999,-9999,-9999,-9999,-9999
0,4.515226092530326,0.0,1.5593229043643329,1.336671111717005e-07,-6.449999999999989,5.070000000000007,-4.4670553,7.032017,1896.7894,-0.79627496,-0.15711582,48.572025,-13.693212509155273,-9999,-9999,-9999,-9999,-9999
0,4.223607265517634,5.213733999948811,2.4421036973490335,2.072565733364218,-0.9199999999999875,10.600000000000009,4.3415318,14.692389,1896.8093,-0.5479992,-0.098436885,49.99872,-9999,-9999,-9999,-9999,-9999,-9999
0,10.73098680871843,12.249501323183187,5.475293184551994,5.904450390487785,-6.449999999999989,16.13000000000001,-1.9718859,21.14727,1896.796,-0.2979012,0.046814602,50.064434,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,5.228779,12.661683,1896.8097,-0.34685358,0.03476315,51.773296,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,9.164667129516602
0,10.178090260999783,6.167515393151745,3.9011733040872763,1.9549281641873066,-0.9199999999999875,5.070000000000007,2.149428,6.545759,1896.809,-0.61241734,0.1483422,48.796574,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,0.0,0.0,0.0,4.610000000000014,16.13000000000001,7.4985604,18.542934,1896.8132,-0.3918304,0.07718453,49.764824,-9999,-9999,-9999,-9999,-9999,-9999
0,0.0,2.7650000000000006,1.016019509405748e-07,0.47675854206173807,-6.449999999999989,10.600000000000009,-2.3084927,11.960194,1896.8015,-0.3661039,0.034879074,50.0874,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9.43876838684082,-10.165332794189453
