n_evt,gpz,wid_x,wid_y,wew_x,wew_y,seed_x,seed_y,trkl_x,trkl_y,trkl_z,trkl_px,trkl_py,trkl_pz,E/p,h4_41,h4_42,h4_43,h4_44,h4_45,h4_46
52,88.60775,2.7650000000000006,2.7650000000000006,1.0355628327135065,1.4848294058080087,-11.97999999999999,10.600000000000009,-5.4821687,12.297674,1896.7991,-0.29320076,0.026922395,50.6476,0.00959734,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
53,27.593576,0.0,0.0,0.0,0.0,-6.449999999999989,10.600000000000009,-3.231084,12.766789,1896.8103,-0.6768977,0.06449312,49.178894,0.015619502,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
54,76.751366,2.7650000000000006,0.0,0.972463134552922,1.9031869449487e-08,-6.449999999999989,5.070000000000007,-4.725456,9.415281,1896.8003,-0.30406645,0.08177152,50.4353,0.0064979205,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
55,47.894978,2.6068669999744056,2.6068669999744056,0.523421190944886,0.7537365003516158,-11.97999999999999,16.13000000000001,-6.835807,19.630009,1896.7865,-0.4368369,0.14321499,49.582077,0.0112175485,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
56,97.39746,0.0,0.0,0.0,1.7763568394002505e-15,10.140000000000015,10.600000000000009,13.508543,14.682491,1896.8286,-0.2563893,-0.018837033,51.834785,0.0045241984,9.466787338256836,-9999,10.405887603759766,10.171592712402344,-9999,9.164667129516602
57,98.78076,0.0,0.0,0.0,0.0,10.140000000000015,5.070000000000007,14.321928,7.456974,1896.8312,-0.24045186,-0.041077115,51.550095,0.0049223197,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
58,31.976963,0.0,4.515226092530326,2.9097634667103264e-07,1.72944241750008,-6.449999999999989,10.600000000000009,-0.8756424,12.242678,1896.7958,-0.7043982,0.0054832785,49.570835,0.017850993,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
59,67.51772,8.127406966554586,16.773320482242035,8.070830193736391,15.445377764733701,4.610000000000014,10.600000000000009,8.1210575,13.517068,1896.8174,-0.28386936,-0.08670149,50.00787,0.008405237,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
60,52.170177,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,7.014796,11.745347,1896.8099,-0.5422834,0.10004271,52.58028,0.008823019,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
61,55.740818,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,8.299754,14.14447,1896.8167,-0.44777384,-0.110327415,50.22256,0.008079389,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
62,57.827255,0.0,0.0,0.0,0.0,4.610000000000014,16.13000000000001,7.7976823,19.547882,1896.8134,-0.24605463,0.059352454,50.107597,0.007239482,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
63,25.822031,0.0,0.0,0.0,0.0,-6.449999999999989,5.070000000000007,-3.6829522,8.542399,1896.7959,-0.6861864,-0.025782239,49.54458,0.016207043,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
64,80.51571,0.0,2.7650000000000006,4.065006485987144e-08,1.084870408793665,-0.9199999999999875,-0.45999999999999375,2.728355,1.7168401,1896.8151,-0.25995833,0.05969687,50.488995,0.0074170087,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
65,56.50338,0.0,4.515226092530326,1.393468208633204e-07,1.601672869139905,4.610000000000014,-0.45999999999999375,9.151581,1.800052,1859.8479,-0.3425643,-0.045723423,50.08943,0.009425958,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,9.164667129516602
66,89.16996,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,1.3881431,14.057178,1896.8032,-0.26990226,-0.018002642,50.58301,0.0050954944,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
67,21.57807,0.0,0.0,0.0,0.0,-0.9199999999999875,5.070000000000007,2.135918,8.464926,1896.8265,-0.22903931,-0.109941006,13.37639,0.022631159,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
68,70.03981,0.0,0.0,0.0,0.0,10.140000000000015,10.600000000000009,12.51377,14.50619,1896.8243,-0.25361085,-0.052204426,51.72484,0.0070050927,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
69,71.61826,0.0,2.7650000000000006,2.0942317863542875e-08,1.6227054990936738,-0.9199999999999875,16.13000000000001,3.0566313,17.048769,1896.8069,-0.3221381,-0.08437489,50.367638,0.006808597,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
70,91.63241,4.515226092530326,2.6068669999744056,2.4666715809454853,0.628191703602968,10.140000000000015,5.070000000000007,11.372971,9.1803465,1896.8267,-0.29730093,-0.063874036,51.736103,0.008146992,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,9.891231536865234,9.164667129516602
71,59.547234,0.0,0.0,0.0,0.0,-0.9199999999999875,-5.989999999999995,1.0395652,-1.334627,1896.8175,-0.23873186,-0.087370545,50.222572,0.007060703,9.466787338256836,-11.931915283203125,-12.754112243652344,-12.988407135009766,-9.43876838684082,-10.165332794189453
72,57.08937,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,7.9022646,15.020528,1896.814,-0.27334818,-0.010190998,50.003826,0.0077482285,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
73,75.39778,0.0,2.7650000000000006,8.739900708290949e-08,0.695484305156271,4.610000000000014,-0.45999999999999375,9.656863,3.0706525,1859.848,-0.3492015,-0.075768255,50.412987,0.0065128463,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
74,32.868217,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,2.6830657,12.211091,1896.8164,-0.5666651,-0.18333897,49.97076,0.01610569,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
75,43.406887,0.0,0.0,0.0,0.0,-0.9199999999999875,10.600000000000009,2.76508,13.132636,1896.8146,-0.54158264,-0.14364496,49.360756,0.010642779,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
76,14.206354,2.6068669999744056,2.6068669999744056,0.6063827393602387,1.2393183501672365,-28.569999999999993,-5.989999999999995,-23.870005,-4.484947,1859.9113,-1.4183567,-0.37015954,48.499264,0.03584059,-9999,-11.931915283203125,-9999,-12.988407135009766,-28.768768310546875,-9999
77,88.13534,2.7650000000000006,0.0,0.5321628660480353,4.33839966538338e-08,4.610000000000014,5.070000000000007,6.007375,8.347814,1896.819,-0.14670447,-0.029367238,50.517437,0.005534397,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
78,34.329453,0.0,0.0,0.0,0.0,-11.97999999999999,5.070000000000007,-8.2754135,7.5341773,1896.7848,-0.7667925,0.06516335,49.355824,0.012624019,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
79,78.391106,0.0,0.0,0.0,0.0,-0.9199999999999875,16.13000000000001,1.1697767,19.166485,1896.8005,-0.34738913,0.047740262,50.40363,0.0063040378,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
80,32.97035,2.7650000000000006,0.0,1.3652211769482694,6.72409168149672e-07,-0.9199999999999875,16.13000000000001,0.6679834,20.272932,1896.8109,-0.6357978,0.1640663,49.490356,0.016182201,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
81,97.384926,0.0,0.0,0.0,0.0,-0.9199999999999875,16.13000000000001,1.6260579,20.015371,1896.8024,-0.07518547,0.0019290909,28.13648,0.0050347005,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
82,67.86563,0.0,5.530000000000001,2.4068424656313207e-07,1.3872346775575148,10.140000000000015,10.600000000000009,13.805733,12.89978,1896.8257,-0.3359629,-0.027766397,50.219418,0.008797752,9.466787338256836,-9999,10.405887603759766,-9999,-9999,9.164667129516602
83,21.51941,0.0,0.0,0.0,0.0,-6.449999999999989,5.070000000000007,-0.7928827,6.9472632,1896.8167,-0.71266776,0.11275461,48.39612,0.0209901,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9.43876838684082,-10.165332794189453
84,19.269934,0.0,0.0,0.0,0.0,-11.97999999999999,-0.45999999999999375,-5.214882,1.2880378,1859.8849,-0.98812497,0.0053463955,48.807434,0.022211887,32.62678909301758,11.228084564208984,-9999,10.171592712402344,-9.43876838684082,-9999
85,63.55627,0.0,0.0,0.0,0.0,4.610000000000014,10.600000000000009,9.867259,13.68613,1896.8177,-0.38171363,0.02229855,50.21858,0.007393522,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,87.21123504638672,9.164667129516602
86,99.28314,19.355000000000004,16.590000000000003,9.398255862878413,8.055647882467213,-6.449999999999989,10.600000000000009,-1.0159763,15.944059,1896.8016,-0.24428147,-0.011189294,51.901325,0.004680588,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
87,13.848854,0.0,0.0,0.0,0.0,-17.50999999999999,10.600000000000009,-11.272565,11.097334,1896.775,-1.2512949,0.26280507,47.670612,0.03186404,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
88,98.072586,0.0,0.0,0.0,0.0,-0.9199999999999875,5.070000000000007,3.553633,8.367776,1896.8146,-0.1729026,-0.0717304,50.32673,0.004623099,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,9.164667129516602
89,65.26941,0.0,0.0,0.0,0.0,-11.97999999999999,16.13000000000001,-5.491195,16.92875,1896.7909,-0.41579482,-0.09510971,50.354424,0.006067275,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
90,51.55372,0.0,2.7650000000000006,2.7873311106398674e-07,2.5617943334200914,-6.449999999999989,10.600000000000009,-2.1600983,10.999579,1896.8049,-0.40431708,0.1332356,49.98262,0.01335795,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
91,18.729647,2.7650000000000006,0.0,0.7167443480348904,8.112542668705622e-08,-6.449999999999989,10.600000000000009,0.07796116,14.803248,1896.7974,-0.9867859,-0.05600879,48.44202,0.025828691,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
92,13.569674,0.0,0.0,0.0,0.0,-11.97999999999999,10.600000000000009,-5.9248204,15.034754,1896.7891,-0.9347604,-0.049193688,47.295055,0.03108833,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
93,33.541283,0.0,0.0,0.0,0.0,-6.449999999999989,5.070000000000007,-3.329925,7.370269,1896.8048,-0.76432776,0.14068225,49.201614,0.014970868,9.466787338256836,11.228084564208984,10.405887603759766,10.171592712402344,-9999,-10.165332794189453
94,16.16981,2.7650000000000006,2.7650000000000006,0.7369730415357195,0.7369730415355963,-28.569999999999993,10.600000000000009,-22.36761,16.291468,1896.7495,-1.5022492,0.07494682,46.940258,0.029298378,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-29.495332717895508
95,28.607986,0.0,0.0,0.0,0.0,-17.50999999999999,5.070000000000007,-13.064939,8.899029,1896.7891,-0.72627133,-0.06832437,48.9241,0.015193324,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
96,12.4365835,58.06500000000001,30.415000000000003,16.255657284326073,8.514868101313658,-11.97999999999999,16.13000000000001,-8.54656,16.98922,1896.8032,-1.0223656,0.38100767,46.863678,0.03762407,-9999,11.228084564208984,-9999,10.171592712402344,-9999,-10.165332794189453
